P&L
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Revenue,14500000,16328000,21666249,31243093,35963396,41167473,43611322,45355775,47170006,49056807
Expenses,9570000,10845900,14388101,20742687,23702274,26924909,28259233,29107010,29980221,30879627
Operating Income,4930000,5482100,7278148,10500406,12261122,14242563,15352089,16248765,17189786,18177179

DEBT SERVICE
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Loan Interest,643045,567625,489851,406409,316877,245471,232226,219827,206597,192481
Loan Principal,1046736,1067322,1145095,1228537,1318069,354232,185146,197545,210775,224891
Total DS,1689781,1634947,1634946,1634947,1634946,599704,417372,417372,417372,417372
Capex Reserve (2%),290000,326560,433325,624862,719268,823349,872226,907116,943400,981136
Distributable Cash,2950219,3520593,5209877,8240597,9906909,12819510,14062491,14924278,15829014,16778671

TAX DETAIL
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Taxable Inc (OpInc-Int),4286955,4914475,6788297,10093996,11944245,13997092,15119863,16028938,16983189,17984699
Fed Depreciation,200000,200000,12200000,5200000,10200000,200000,200000,200000,0,0
Fed Taxable,4086955,4714475,-5411703,4893996,1744245,13797092,14919863,15828938,16983189,17984699
State Depreciation,1000000,1000000,2200000,2700000,2700000,2700000,2700000,2700000,2700000,2700000
HI Taxable,3286955,3914475,4588297,7393996,9244245,11297092,12419863,13328938,14283189,15284699
EB Fed Taxable,1062608,1249336,-1461160,1345849,479667,3794200,4102962,4352958,4670377,4945792
NOL Used,600000,0,0,0,0,0,0,0,0,0
EB Net Fed,462608,1249336,0,1345849,479667,3794200,4102962,4352958,4670377,4945792
Fed Tax (EB),102161,386317,0,422027,107620,1327917,1442159,1534657,1652102,1754006
Fed Dist (entity),392926,1457799,0,1534642,391344,4828788,5244213,5580571,6007644,6378202
HI Tax (EB),82764,102864,125030,212426,268396,330494,364458,391958,420824,451119
HI Dist (entity),318324,388167,463073,772457,975984,1201797,1325302,1425300,1530268,1640434
Tax Liability,711249,1845966,463073,2307099,1367328,6030585,6569515,7005871,7537911,8018636
Tax Cash Dist,0,1066874,2697003,808796,3690119,1602271,9528028,6973712,7333138,7936942

DISTRIBUTION WATERFALL
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Distributable Cash,2950219,3520593,5209877,8240597,9906909,12819510,14062491,14924278,15829014,16778671
Tax Dist,0,1066874,2697003,808796,3690119,1602271,9528028,6973712,7333138,7936942
Tier 0 (EB),300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Tier 1,500000,600000,750000,750000,750000,750000,750000,750000,750000,750000
T1 Shortfall,0,0,0,0,0,0,0,0,0,0
PE/DD Repayment,2150219,532216,0,0,0,0,0,0,0,0
Tier 2,0,1021504,1462873,6381801,5166790,10167239,3484463,6900565,7445875,7791730

PE/DD DETAIL
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
PE3 Prin Paid,515000,0,0,0,0,0,0,0,0,0
PE3 Int Paid,180595,0,0,0,0,0,0,0,0,0
PE3 End Bal,0,0,0,0,0,0,0,0,0,0
PE3 Int Owed,0,0,0,0,0,0,0,0,0,0
PE1 Prin Paid,1000000,0,0,0,0,0,0,0,0,0
PE1 Int Paid,0,0,0,0,0,0,0,0,0,0
PE1 End Bal,0,0,0,0,0,0,0,0,0,0
PE1 Int Owed,0,0,0,0,0,0,0,0,0,0
PE2 Prin Paid,454624,45376,0,0,0,0,0,0,0,0
PE2 Int Paid,0,106840,0,0,0,0,0,0,0,0
PE2 End Bal,45376,0,0,0,0,0,0,0,0,0
PE2 Int Owed,104571,0,0,0,0,0,0,0,0,0
DD Prin Paid,0,380000,0,0,0,0,0,0,0,0
DD Int Paid,0,0,0,0,0,0,0,0,0,0
DD End Bal,380000,0,0,0,0,0,0,0,0,0
DD Int Owed,0,0,0,0,0,0,0,0,0,0
T1Short Prin Paid,0,0,0,0,0,0,0,0,0,0
T1Short Int Paid,0,0,0,0,0,0,0,0,0,0
T1Short End Bal,0,0,0,0,0,0,0,0,0,0
T1Short Int Owed,0,0,0,0,0,0,0,0,0,0

EXISTING DEBT
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Existing DS,1430000,1430000,1430000,1430000,1430000,680000,430000,430000,430000,430000

OWNERSHIP %
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
JJB,42.5,46.7,52.9,57.2,57.2,57.2,57.2,57.2,57.2,57.2
EB,26.0,25.7,24.3,23.8,24.3,24.8,25.3,25.8,26.3,26.8
JS,31.5,27.6,22.8,19.0,18.5,18.0,17.5,17.0,16.5,16.0

PARTNER CASH
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
EB tax_dist,0,273976,654904,192424,896381,397225,2409771,1798618,1927985,2126418
EB tier_0,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
EB tier_1,130000,154081,182120,178435,182185,185935,189685,193435,197185,200935
EB tier_2,0,262325,355225,1518320,1255085,2520601,881269,1779752,1957625,2087513
EB total,430000,990382,1492249,2189179,2633652,3403762,3780726,4071806,4382795,4714866

JS tax_dist,0,294653,615834,154000,684173,289060,1671280,1188368,1212950,1273139
JS tier_1,157500,165710,171255,142805,139055,135305,131555,127805,124055,120305
JS pedd,1075110,266108,0,0,0,0,0,0,0,0
JS tier_2,0,282123,334033,1215138,957958,1834238,611198,1175903,1231598,1249846
JS equity_buy_sell,220000,268125,316250,364375,0,0,0,0,0,0
JS total,1452610,1276719,1437371,1876318,1781186,2258604,2414034,2492075,2568603,2643290

JJB tax_dist,0,498245,1426265,462372,2109565,915985,5446976,3986727,4192203,4537385
JJB tier_1,212500,280208,396625,428759,428759,428759,428759,428759,428759,428759
JJB pedd,1075110,266108,0,0,0,0,0,0,0,0
JJB tier_2,0,477057,773616,3648344,2953747,5812400,1991995,3944910,4256653,4454370
JJB equity_buy_sell,-220000,-268125,-316250,-364375,0,0,0,0,0,0
JJB total,1067610,1253493,2280256,4175100,5492071,7157145,7867731,8360397,8877616,9420515

EB Grant %,2.0
